Blocktype,UnitNo,Perimeter,Area,Acres,Hectares,ndwi_count,ndwi_sum,ndwi_mean,ndwi_median,ndwi_stdev,year,month,day
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,0,0,NA,NA,NA,2021,7,12
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,0,0,NA,NA,NA,2021,7,12
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,0,0,NA,NA,NA,2021,7,12
B-Even,17,3448.17244987,447617.681657,10.2758880086,4.15852097243,0,0,NA,NA,NA,2021,7,12
B-Control,19,3641.41059676,441134.064611,10.1270446421,4.09828595812,0,0,NA,NA,NA,2021,7,12
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,0,0,NA,NA,NA,2021,7,12
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,0,0,NA,NA,NA,2021,7,12
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,0,0,NA,NA,NA,2021,7,12
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,0,0,NA,NA,NA,2021,7,12
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,0,0,NA,NA,NA,2021,7,12
UB-Variable,21,3088.85955111,468369.04931,10.7522738593,4.35130825749,0,0,NA,NA,NA,2021,7,12
B-Even,23,3183.03031461,443218.40206,10.1748944458,4.11765016411,0,0,NA,NA,NA,2021,7,12
B-Even,13,3150.56651384,561911.370882,12.8997100753,5.22034833792,0,0,NA,NA,NA,2021,7,12
B-Control,14,2912.50507204,477916.074104,10.9714433908,4.44000337491,0,0,NA,NA,NA,2021,7,12
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,64,16.8944656997919,0.263976026559249,0.264108553528786,0.0544969827011636,2021,7,20
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,49,10.4887211918831,0.214055534528226,0.207935348153114,0.0622797041054171,2021,7,20
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,62,13.9827350527048,0.225527984721045,0.232075184583664,0.0552898854049629,2021,7,20
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,53,17.0886341258883,0.322427058979025,0.343478947877884,0.0745072037810776,2021,7,20
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,50,15.1613420248032,0.303226840496063,0.291739746928215,0.0658498880535285,2021,7,20
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,52,11.3959220647812,0.219152347399638,0.215918436646461,0.0549426724857964,2021,7,20
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,65,19.0267321020365,0.292718955415946,0.303745687007904,0.0604562483316246,2021,7,20
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,58,13.7927508316934,0.2378060488223,0.242315277457237,0.0812443788170675,2021,7,20
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,62,13.2874636463821,0.214313929780356,0.211552999913692,0.0773905083506949,2021,7,20
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,60,18.4655114859343,0.307758524765571,0.305386051535606,0.0469954629639002,2021,7,20
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,57,20.4780840873718,0.359264633111786,0.360471546649933,0.0490277104156845,2021,7,20
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,67,17.4742636233568,0.260809904826221,0.264470756053925,0.0716658407500272,2021,7,20
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,66,16.7522367984056,0.253821769672813,0.252741381525993,0.0482268768695491,2021,7,20
B-Even,17,3448.17244987,447617.681657,10.2758880086,4.15852097243,56,12.0776580497622,0.215672465174326,0.224726997315884,0.0605696689833123,2021,7,20
B-Control,19,3641.41059676,441134.064611,10.1270446421,4.09828595812,57,14.5867162258364,0.255907302207657,0.272823959589005,0.0658486331043021,2021,7,20
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,65,13.9911787323654,0.215248903574852,0.212382838129997,0.06363555640645,2021,7,20
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,64,16.9385336041451,0.264664587564766,0.254837781190872,0.0700458128058911,2021,7,20
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,70,18.2161828801036,0.26023118400148,0.258492112159729,0.0767264428279014,2021,7,20
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,62,18.4129118956625,0.296982449930041,0.321333974599838,0.0773377256024727,2021,7,20
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,56,14.8729092255235,0.265587664741491,0.280086368322372,0.0763254535620491,2021,7,20
UB-Variable,21,3088.85955111,468369.04931,10.7522738593,4.35130825749,58,12.7565953396261,0.21994129895907,0.222294226288795,0.0511928325308432,2021,7,20
B-Even,23,3183.03031461,443218.40206,10.1748944458,4.11765016411,59,17.8139490038157,0.301931339047723,0.300678580999374,0.0659175880578221,2021,7,20
B-Even,13,3150.56651384,561911.370882,12.8997100753,5.22034833792,67,17.2608667835593,0.257624877366557,0.266568899154663,0.0569155884374212,2021,7,20
B-Control,14,2912.50507204,477916.074104,10.9714433908,4.44000337491,64,16.5407942086458,0.258449909510091,0.26539458334446,0.0534872263289104,2021,7,20
UB-Even,9,3404.0060855,514957.975198,11.8218084297,4.78413527333,0,0,NA,NA,NA,2021,7,28
UB-Variable,10,2651.2030947,388149.557821,8.91068773693,3.60604181377,0,0,NA,NA,NA,2021,7,28
UB-Variable,8,2753.98254495,450548.637409,10.3431734942,4.1857505513,0,0,NA,NA,NA,2021,7,28
UB-Control,7,2491.50702099,392657.142759,9.01416764827,3.64791881566,0,0,NA,NA,NA,2021,7,28
UB-Control,12,2744.57965877,375284.051603,8.61533635453,3.4865168718,0,0,NA,NA,NA,2021,7,28
UB-Even,11,2665.86226499,389837.148948,8.94942949836,3.62172011109,0,0,NA,NA,NA,2021,7,28
B-Variable,2,2800.90096435,488749.526248,11.2201452307,4.54064984128,0,0,NA,NA,NA,2021,7,28
B-Even,1,2966.60299639,423537.986534,9.72309427306,3.93481238969,0,0,NA,NA,NA,2021,7,28
B-Control,3,2782.19010868,458793.163721,10.532441775,4.26234501345,0,0,NA,NA,NA,2021,7,28
UB-Even,4,2764.87621788,457395.812155,10.5003629971,4.24936314068,0,0,NA,NA,NA,2021,7,28
UB-Control,6,2777.1700766,444069.711323,10.1944378173,4.12555911761,0,0,NA,NA,NA,2021,7,28
UB-Variable,5,2731.45432459,483908.321871,11.1090064709,4.49567340098,0,0,NA,NA,NA,2021,7,28
B-Variable,15,3698.76877483,476636.486329,10.9420680976,4.42811556794,0,0,NA,NA,NA,2021,7,28
B-Even,17,3448.17244987,447617.681657,10.2758880086,4.15852097243,0,0,NA,NA,NA,2021,7,28
B-Control,19,3641.41059676,441134.064611,10.1270446421,4.09828595812,0,0,NA,NA,NA,2021,7,28
B-Variable,18,3742.6030869,491434.487647,11.281783463,4.56559404869,0,0,NA,NA,NA,2021,7,28
B-Control,16,3509.87652099,510553.562694,11.7206970315,4.74321677856,0,0,NA,NA,NA,2021,7,28
UB-Even,24,3223.35355911,514404.408237,11.8091002809,4.77899244741,0,0,NA,NA,NA,2021,7,28
UB-Control,20,3412.58177941,499731.83655,11.4722643836,4.64267925073,0,0,NA,NA,NA,2021,7,28
B-Variable,22,2964.3261264,453367.110783,10.4078767397,4.2119351305,0,0,NA,NA,NA,2021,7,28
UB-Variable,21,3088.85955111,468369.04931,10.7522738593,4.35130825749,0,0,NA,NA,NA,2021,7,28
B-Even,23,3183.03031461,443218.40206,10.1748944458,4.11765016411,0,0,NA,NA,NA,2021,7,28
B-Even,13,3150.56651384,561911.370882,12.8997100753,5.22034833792,0,0,NA,NA,NA,2021,7,28
B-Control,14,2912.50507204,477916.074104,10.9714433908,4.44000337491,0,0,NA,NA,NA,2021,7,28
