"","Blocktype","UnitNo","Perimeter","Area","Acres","Hectares","ndwi_count","ndwi_sum","ndwi_mean","ndwi_median","ndwi_stdev","year","month","day"
"114","UB-Even",24,3223.35355911,514404.408237,11.8091002809,4.77899244741,0,0,NA,NA,NA,2019,7,4
"115","UB-Control",20,3412.58177941,499731.83655,11.4722643836,4.64267925073,0,0,NA,NA,NA,2019,7,4
"116","B-Variable",22,2964.3261264,453367.110783,10.4078767397,4.2119351305,0,0,NA,NA,NA,2019,7,4
"117","UB-Variable",21,3088.85955111,468369.04931,10.7522738593,4.35130825749,0,0,NA,NA,NA,2019,7,4
"118","B-Even",23,3183.03031461,443218.40206,10.1748944458,4.11765016411,0,0,NA,NA,NA,2019,7,4
"119","B-Even",13,3150.56651384,561911.370882,12.8997100753,5.22034833792,0,0,NA,NA,NA,2019,7,4
"120","B-Control",14,2912.50507204,477916.074104,10.9714433908,4.44000337491,0,0,NA,NA,NA,2019,7,4
"121","UB-Even",9,3404.0060855,514957.975198,11.8218084297,4.78413527333,64,14.9321687221527,0.233315136283636,0.234316468238831,0.0586054004599815,2019,7,12
"122","UB-Variable",10,2651.2030947,388149.557821,8.91068773693,3.60604181377,49,8.45500461757183,0.172551114644323,0.168591246008873,0.0574607411841818,2019,7,12
"123","UB-Variable",8,2753.98254495,450548.637409,10.3431734942,4.1857505513,62,12.70130790025,0.204859804842741,0.210861764848232,0.0590936821338107,2019,7,12
"124","UB-Control",7,2491.50702099,392657.142759,9.01416764827,3.64791881566,53,16.194933667779,0.305564786184509,0.317382544279099,0.0834184116116015,2019,7,12
"125","UB-Control",12,2744.57965877,375284.051603,8.61533635453,3.4865168718,50,14.2699568644166,0.285399137288332,0.271329179406166,0.0642942230109607,2019,7,12
"126","UB-Even",11,2665.86226499,389837.148948,8.94942949836,3.62172011109,52,10.1974737495184,0.196105264413815,0.194953240454197,0.0483881591303455,2019,7,12
"127","B-Variable",2,2800.90096435,488749.526248,11.2201452307,4.54064984128,65,15.6516918540001,0.240795259292309,0.241513550281525,0.0632158365403604,2019,7,12
"128","B-Even",1,2966.60299639,423537.986534,9.72309427306,3.93481238969,58,12.7185441367328,0.219285243736773,0.230111479759216,0.087514470403313,2019,7,12
"129","B-Control",3,2782.19010868,458793.163721,10.532441775,4.26234501345,62,12.6490177549422,0.204016415402293,0.209875360131264,0.0764706034021839,2019,7,12
"130","UB-Even",4,2764.87621788,457395.812155,10.5003629971,4.24936314068,60,17.2006719708443,0.286677866180738,0.294423192739487,0.0515151231330341,2019,7,12
"131","UB-Control",6,2777.1700766,444069.711323,10.1944378173,4.12555911761,57,19.6434769034386,0.344622401814712,0.347729116678238,0.0491120150440376,2019,7,12
"132","UB-Variable",5,2731.45432459,483908.321871,11.1090064709,4.49567340098,67,15.3222789168358,0.228690730102027,0.222283706068993,0.0701415293535704,2019,7,12
"133","B-Variable",15,3698.76877483,476636.486329,10.9420680976,4.42811556794,66,14.6064149513841,0.221309317445213,0.220818474888802,0.0483028523472845,2019,7,12
"134","B-Even",17,3448.17244987,447617.681657,10.2758880086,4.15852097243,56,10.4690026603639,0.186946476077927,0.191185921430588,0.0597242593343021,2019,7,12
"135","B-Control",19,3641.41059676,441134.064611,10.1270446421,4.09828595812,57,13.9565678201616,0.244852067020379,0.253967106342316,0.0603758464860802,2019,7,12
"136","B-Variable",18,3742.6030869,491434.487647,11.281783463,4.56559404869,65,13.4429054632783,0.206813930204281,0.201941952109337,0.0562526518365888,2019,7,12
"137","B-Control",16,3509.87652099,510553.562694,11.7206970315,4.74321677856,64,15.9955020844936,0.249929720070213,0.241488143801689,0.066326368463196,2019,7,12
